slate_date,win_score,rank20_score,rank1_to_rank20_gap,perfect_score,our_score,sim_heuristic_score,gap_to_winner,gap_to_perfect,projection_loss,construction_loss_extra,proj_rmse,proj_bias,overlap_with_winner,chalk_picks,median_drafts,n_menu,n_with_score,our_pids,win_pids,perfect_pids,sim_pids,source,flag,ev,skip_reason
2025-06-21,47.56,,,55.662776589836376,45.83596422192909,45.83596422192909,1.7240357780709132,9.826812367907287,9.826812367907287,0.0,0.8244862599835396,-0.16500308087341398,3.0,0.0,322.0,29.0,29.0,"[8, 700, 741, 725, 673]","[670, 8, 736, 725, 673]","[8, 670, 700, 654, 660]","[8, 700, 741, 725, 673]",SIM,sim,,
2025-06-26,53.2,45.49,7.710000000000001,51.48859948697314,42.988078930941725,42.988078930941725,10.211921069058278,8.500520556031418,8.500520556031418,0.0,0.9581005594334558,0.012176333584278831,2.0,1.0,310.0,25.0,25.0,"[729, 4322761, 698, 671, 683]","[698, 4322741, 4322761, 665, 685]","[4322761, 698, 4322741, 671, 596]","[729, 4322761, 698, 671, 683]",SIM,sim,,
2025-07-01,40.77,37.92,2.8500000000000014,41.29273032043032,19.511319839387678,19.511319839387678,21.258680160612325,21.781410481042645,21.781410481042645,0.0,1.4537221980964967,1.0760896857584945,1.0,1.0,248.0,17.0,17.0,"[8, 671, 4322756, 661, 699]","[658, 627, 671, 653, 760]","[671, 760, 627, 658, 653]","[8, 671, 4322756, 661, 699]",SIM,sim,,
2025-07-07,69.45,62.68,6.770000000000003,78.87800085552863,64.28917102199142,64.28917102199142,5.160828978008581,14.588829833537204,14.588829833537204,0.0,1.3463310332520386,-0.9419533072897682,2.0,0.0,269.0,25.0,25.0,"[689, 733, 668, 4322766, 604]","[4322740, 745, 733, 668, 736]","[736, 733, 617, 4322766, 712]","[689, 733, 668, 4322766, 604]",SIM,sim,,
2025-07-11,52.66,45.35,7.309999999999995,60.896694337076205,36.968564186359124,36.968564186359124,15.691435813640872,23.92813015071708,23.92813015071708,0.0,1.2298830188941685,0.2684890525370429,1.0,1.0,187.0,25.0,25.0,"[671, 744, 563, 4322742, 4322756]","[627, 734, 616, 606, 671]","[606, 671, 626, 749, 735]","[671, 744, 563, 4322742, 4322756]",SIM,sim,,
2025-07-15,56.96,52.19,4.770000000000003,57.661712240560135,47.996676566082996,47.996676566082996,8.963323433917004,9.665035674477139,9.665035674477139,0.0,0.5612826916120722,-0.25861614878344225,2.0,0.0,330.0,23.0,23.0,"[744, 671, 4322745, 713, 714]","[691, 611, 760, 744, 713]","[760, 713, 744, 718, 671]","[744, 671, 4322745, 713, 714]",SIM,sim,,
2025-07-24,55.07,49.23,5.840000000000003,67.96171526328337,57.45818620627114,57.45818620627114,-2.3881862062711363,10.50352905701223,10.50352905701223,0.0,1.207090443127407,-0.6385975934116075,2.0,1.0,187.5,28.0,28.0,"[713, 671, 741, 4322742, 710]","[611, 760, 602, 671, 713]","[4322742, 760, 713, 596, 710]","[713, 671, 741, 4322742, 710]",SIM,sim,,
2025-07-28,54.31,49.23,5.080000000000005,62.29949783810377,43.84050422716069,43.84050422716069,10.46949577283931,18.458993610943075,18.458993610943075,0.0,0.6534245537580431,-0.045431648993082475,1.0,0.0,186.0,28.0,28.0,"[303, 724, 696, 719, 4322742]","[4322740, 738, 767, 336, 4322742]","[719, 767, 738, 734, 336]","[303, 724, 696, 719, 4322742]",SIM,sim,,
2025-08-01,60.67,52.78,7.890000000000001,68.14282989620608,56.98333289556987,56.98333289556987,3.6866671044301285,11.159497000636208,11.159497000636208,0.0,1.2511932732488438,-0.6648077159934169,3.0,2.0,176.0,34.0,34.0,"[563, 713, 725, 716, 604]","[741, 617, 716, 563, 725]","[563, 738, 708, 617, 725]","[563, 713, 725, 716, 604]",SIM,sim,,
2025-08-06,43.89,41.55,2.3400000000000034,44.05698311335687,24.17868820488999,24.17868820488999,19.71131179511001,19.87829490846688,19.87829490846688,0.0,1.2403911163933818,0.8446602823325753,2.0,1.0,133.0,20.0,20.0,"[762, 698, 399, 594, 604]","[598, 399, 629, 726, 762]","[399, 598, 629, 4322797, 762]","[762, 698, 399, 594, 604]",SIM,sim,,
2025-08-10,64.18,,,70.59441610406662,67.35254278826093,67.35254278826093,-3.1725427882609267,3.241873315805691,3.241873315805691,0.0,1.3166966121611512,-1.1647303521543455,2.0,1.0,117.0,35.0,35.0,"[4322742, 716, 698, 685, 687]","[598, 713, 617, 4322742, 716]","[716, 4322742, 4322746, 685, 754]","[4322742, 716, 698, 685, 687]",SIM,sim,,
2025-08-15,61.97,55.38,6.589999999999996,67.65568247371861,46.76134631063089,46.76134631063089,15.208653689369108,20.894336163087722,20.894336163087722,0.0,0.9487460311818081,-0.19125605937715395,1.0,0.0,176.0,34.0,34.0,"[4322766, 4322742, 687, 685, 4322749]","[598, 657, 671, 713, 687]","[713, 687, 602, 4322766, 614]","[4322766, 4322742, 687, 685, 4322749]",SIM,sim,,
2025-08-20,61.27,,,55.75031132357563,10.87968184081808,10.87968184081808,50.39031815918192,44.87062948275755,44.87062948275755,0.0,1.5113449511519725,1.4440404650392042,0.0,0.0,227.0,17.0,17.0,"[4322766, 4322750, 714, 661, 4322748]","[621, 4322740, 723, 765, 713]","[4322740, 723, 336, 765, 716]","[4322766, 4322750, 714, 661, 4322748]",SIM,sim,,
2025-08-24,64.48,58.06,6.420000000000002,72.2141624146546,59.91837808738334,59.91837808738334,4.5616219126166655,12.295784327271257,12.295784327271257,0.0,0.8153516319516092,-0.7811244049515643,0.0,0.0,278.0,31.0,31.0,"[8, 685, 399, 604, 316]","[738, 759, 691, 4322797, 4322742]","[738, 759, 4322742, 8, 685]","[8, 685, 399, 604, 316]",SIM,sim,,
2025-08-28,53.41,48.43,4.979999999999997,74.89892584960447,64.85459150023527,64.85459150023527,-11.444591500235276,10.044334349369194,10.044334349369194,0.0,1.1907012406384871,-0.9928303424384157,2.0,0.0,130.5,30.0,30.0,"[303, 696, 719, 725, 600]","[701, 705, 4322742, 303, 719]","[668, 719, 725, 696, 670]","[303, 696, 719, 725, 600]",SIM,sim,,
2025-09-01,56.6,51.68,4.920000000000002,63.430533604131554,27.739866017321273,27.739866017321273,28.86013398267873,35.69066758681028,35.69066758681028,0.0,1.045541600709217,0.6695806029305655,0.0,1.0,175.0,30.0,30.0,"[716, 714, 661, 710, 4322748]","[718, 616, 617, 689, 652]","[652, 617, 734, 718, 661]","[716, 714, 661, 710, 4322748]",SIM,sim,,
